4713;Doing other things
137664;Swiping Left
102588;Doing other things
73078;Doing other things
114282;Doing other things
123582;Stop Sign
26412;Stop Sign
45868;Swiping Down
132138;Swiping Left
50463;Swiping Down
19151;Swiping Up
145843;Swiping Up
48304;Swiping Down
84971;Turning Hand Counterclockwise
143267;Doing other things
50170;Swiping Right
104721;Stop Sign
105869;Turning Hand Counterclockwise
107771;Doing other things
82535;Swiping Up
144282;Stop Sign
61275;Doing other things
59928;Swiping Up
4959;Stop Sign
81325;Swiping Left
3186;Stop Sign
101771;Swiping Left
46615;Swiping Down
55013;Stop Sign
112327;Turning Hand Clockwise
118937;Swiping Down
86906;Swiping Right
107064;Swiping Down
52756;Doing other things
30656;Stop Sign
71506;Stop Sign
62855;Turning Hand Counterclockwise
132404;Swiping Down
82694;Swiping Up
40758;Turning Hand Counterclockwise
9524;Swiping Left
146650;Turning Hand Counterclockwise
36019;Stop Sign
136357;Swiping Up
11835;Swiping Left
62376;Swiping Down
84871;Doing other things
30328;Swiping Left
87841;No gesture
73885;Swiping Down
81607;Swiping Left
131909;Doing other things
37030;Doing other things
94475;Stop Sign
80591;Swiping Up
102063;Doing other things
123309;Swiping Down
75518;No gesture
31967;Swiping Left
140656;Turning Hand Counterclockwise
84445;Swiping Down
95653;Swiping Right
27729;Turning Hand Clockwise
79743;Swiping Left
82589;Swiping Left
97787;Turning Hand Clockwise
134657;Swiping Left
139088;Swiping Left
92291;Swiping Down
120198;Swiping Right
116984;Swiping Down
20552;Swiping Down
79292;Doing other things
38579;Swiping Left
84328;Turning Hand Counterclockwise
17597;Doing other things
35422;Swiping Right
35080;No gesture
27101;Doing other things
52362;Turning Hand Counterclockwise
23894;Swiping Down
43710;Swiping Up
104173;Doing other things
52762;Doing other things
30291;Doing other things
74691;Turning Hand Clockwise
103882;Stop Sign
35469;Swiping Right
69918;No gesture
9104;No gesture
121777;Doing other things
144620;Turning Hand Clockwise
41344;Swiping Up
135211;Swiping Up
68222;Doing other things
124374;No gesture
19140;Swiping Up
120803;Doing other things
126718;Doing other things
5756;Doing other things
137843;Stop Sign
16891;Swiping Up
52774;No gesture
129627;Turning Hand Clockwise
76602;Doing other things
95266;Doing other things
1615;Swiping Down
28201;Swiping Up
30358;Swiping Down
76283;No gesture
24392;Stop Sign
137576;Turning Hand Clockwise
131068;Swiping Up
37883;Doing other things
88677;Swiping Left
87656;Swiping Left
87538;Swiping Down
37795;Doing other things
114713;Swiping Down
30257;Doing other things
102369;Swiping Down
79536;Stop Sign
101263;Stop Sign
133948;Swiping Left
930;Swiping Right
9384;Doing other things
63719;Doing other things
52741;Swiping Right
19865;No gesture
35688;Swiping Down
33477;Swiping Down
125687;Swiping Down
125311;Turning Hand Counterclockwise
95575;Stop Sign
63622;Stop Sign
42631;Stop Sign
24334;Doing other things
109489;Swiping Up
65438;No gesture
52797;Swiping Left
23116;Swiping Up
3624;Swiping Right
79005;Swiping Left
139117;Swiping Down
138125;Doing other things
104985;Swiping Left
67182;Turning Hand Clockwise
58013;Turning Hand Clockwise
7440;Swiping Left
118838;Turning Hand Clockwise
31570;Turning Hand Counterclockwise
107128;Swiping Left
22182;No gesture
108170;Doing other things
142410;Swiping Left
97995;No gesture
33779;Doing other things
79252;Swiping Down
64480;Stop Sign
137504;Swiping Right
123178;Doing other things
76574;Swiping Left
10696;No gesture
107710;Swiping Left
743;Turning Hand Clockwise
136961;Turning Hand Counterclockwise
12851;Doing other things
80582;Doing other things
43928;Doing other things
47761;Turning Hand Clockwise
14281;Doing other things
87191;Swiping Up
99835;Doing other things
94905;Doing other things
88243;Doing other things
106793;Swiping Left
127504;Swiping Left
142022;Swiping Up
110409;Turning Hand Clockwise
19172;No gesture
42710;Swiping Right
67540;Turning Hand Clockwise
102582;Turning Hand Clockwise
52278;Turning Hand Counterclockwise
54055;No gesture
102743;Stop Sign
94311;Swiping Up
138863;Stop Sign
102373;Swiping Up
89043;Turning Hand Clockwise
68752;Swiping Down
63660;No gesture
146548;Doing other things
128232;Doing other things
45373;Turning Hand Counterclockwise
50604;Swiping Left
75262;Stop Sign
47459;Turning Hand Clockwise
19363;Stop Sign
134523;Stop Sign
113819;Swiping Down
39130;No gesture
145670;Swiping Right
6345;Swiping Up
102051;No gesture
54425;Turning Hand Clockwise
50212;Swiping Left
